"Line Number","Keyword","Frequency"
"1302","emeriti lecture",2
"1315","employees",2
"1316","Enceladus",2
"1319","endangered languages",2
"1321","endangered species",2
"1329","engagement",2
"1340","Entrepreneurship Showcase",2
"1362","Erik Asphaug",2
"1364","Erika Zavaleta",2
"1366","ERIT",2
"1372","ethics bowl",2
"1377","Eugene Cota-Robles",2
"1385","events",2
"1395","excellence in teaching",2
"1397","Excellence in Teaching Awards",2
"1401","exhibitions",2
"1408","Expressive Intelligence Studio",2
"1427","faculty research",2
"1428","Faculty Research Lecture",2
"1447","farmers market",2
"1462","feminist critical race and ethnic studies",2
"1466","Fermi",2
"1471","fiction",2
"1473","field quarter",2
"1507","Flatte Lecture",2
"1508","flint center",2
"1510","flowers",2
"1513","folklorico",2
"1515","food",2
"1517","food drive",2
"1518","food guide",2
"1541","founders",2
"1543","founders celebration",2
"1550","frameline award",2
"1556","Frank Drake",2
"1558","Franklin Medal",2
"1559","frans lanting",2
"1565","fredrick lieberman",2
"1568","Friends Foundation International",2
"1583","funding",2
"1594","Gabriel Zimmerman",2
"1598","galaxies",2
"1600","galaxy formation",2
"1607","game design program",2
"1625","garden",2
"1637","gay marriage",2
"1657","Genome Browser",2
"1673","george ow",2
"1682","Giacomo Bernardi",2
"1691","giip",2
"1707","Glenn Millhauser",2
"1713","global alliance",2
"1719","Global Oceans Awards",2
"1756","graffiti",2
"1763","Grateful Dead",2
"1778","great recession",2
"1801","Gretchen Andreasen",2
"1820","H. pylori",2
"1822","HAB",2
"1828","HACK   hackathon",2
"1831","haiti",2
"1833","Hal Hyde",2
"1846","Harland Epps",2
"1855","Hartmut Sadrozinski",2
"1861","hate",2
"1862","haussler",2
"1870","Health Care Heroes",2
"1871","Health Center",2
"1876","Health Sciences",2
"1884","Helicobacter pylori",2
"1886","heller drive",2
"1887","Hellman Fellows",2
"1888","Hellman Fellows Program",2
"1912","Hire Education video contest employer employment",2
"1914","historic district",2
"1928","Ho'ailona",2
"1931","holiday",2
"1937","Hollywood film industry",2
"1940","holocaust",2
"1961","housing",2
"1967","HSI",2
"1973","Hubble Ultra Deep Field",2
"1974","HUDF",2
"1976","Huffman Prize",2
"1983","Human Genome Project",2
"1989","Humanities",2
"1990","humanities awards",2
"1991","Humanities Dean",2
"1998","humanities research",2
"2002","Humboldt Research Award",2
"2025","IEEE Fellows",2
"2028","Ilan Benjamin",2
"2051","Ingrid Parker",2
"2052","initiatives",2
"2062","institute for humanities research",2
"2077","insurrection",2
"2085","intergroup contact",2
"2092","international playhouse",2
"2095","internship",2
"2110","iPhone app",2
"2120","irwin scholars",2
"2127","islamic",2
"2138","J. Casey Moore",2
"2141","J. Michael Bishop",2
"2157","James Davis",2
"2159","James Estes",2
"2169","Jane Pinckard",2
"2194","Jenny Reardon",2
"2195","Jerry Brown",2
"2200","Jesse Avshalomov",2
"2201","jesse thorn",2
"2223","Jim Estes",2
"2224","Jim Gill",2
"2234","Jock Reynolds",2
"2235","Joe Cox",2
"2237","joe palca",2
"2246","john jota leanos",2
"2249","John Laird",2
"2253","John Pearse",2
"2265","Jonathan Zehr",2
"2276","journalism",2
"2283","Julia Sweig",2
"2285","julie guthman",2
"2286","Julie Packard",2
"2290","Justin Yeakel",2
"2310","Kathleen Kay",2
"2318","Katia Obraczka",2
"2330","Kelly Peach",2
"2332","Ken Chen",2
"2349","Kerstin Wasson",2
"2361","koch",2
"2366","KQED",2
"2374","la mission",2
"2379","labor",2
"2381","ladusaw",2
"2384","Lake Whillans",2
"2386","LALS",2
"2410","latino",2
"2420","layoffs",2
"2430","lectures",2
"2452","Library",2
"2464","linda tropp",2
"2466","Lindsay Hinck",2
"2487","living writers series",2
"2489","lizard extinctions",2
"2491","lizards",2
"2494","Loma Prieta",2
"2498","Long Marine Laboratory",2
"2509","Luca de Alfaro",2
"2518","Lydia Zendejas",2
"2521","m. Brewster Smith",2
"2522","M. Sanjayan",2
"2534","maitra lecture",2
"2537","Malika Bell",2
"2540","Mandel Lecture",2
"2545","Manuel Ares",2
"2548","MARC",2
"2555","marco barricelli",2
"2569","marine mammals",2
"2570","marine microbiology",2
"2571","marine natural products",2
"2579","Mark Adams",2
"2607","Mary Silver",2
"2610","mascot",2
"2622","Matthew McCarthy",2
"2623","Matthew Palm",2
"2629","mayan",2
"2672","mercury",2
"2684","methane",2
"2687","Mexican Academy of Sciences",2
"2688","mexican american",2
"2691","mexican immigrants",2
"2698","Michael Beck",2
"2700","Michael Bolte",2
"2708","michael pollan",2
"2727","migrants",2
"2728","Mike Beck",2
"2736","Milky Way",2
"2746","mission",2
"2749","MLK",2
"2760","monk seal",2
"2765","moon",2
"2777","mountain lions",2
"2780","move in",2
"2792","museum",2
"2793","museum of art and history",2
"2794","Museum of Art and History",2
"2796","museum of natural history collections",2
"2805","muslim",2
"2812","Nancy Abrams",2
"2813","nanobiopsy",2
"2834","Nathaniel Deutsch",2
"2837","National Academy of Sciences",2
"2843","National Endowment for the Humanities",2
"2848","national research council",2
"2856","natural reserves",2
"2873","network",2
"2880","new books",2
"2885","new media",2
"2893","new year",2
"2909","Nicholas Shikuma",2
"2912","Nicole Paiement",2
"2914","nigeria",2
"2915","nigerian bombing",2
"2918","Nikki Giovanni",2
"2922","nitrogen fixation",2
"2932","nonresident enrollment",2
"2941","Novack",2
"2945","NPR",2
"2946","NRC",2
"2949","NSF CAREER Award",2
"2974","ocean noise",2
"2990","olga najera-ramirez",2
"3008","opers recreation",2
"3014","Optical Society",2
"3020","organic",2
"3024","organic vegetables",2
"3025","orientation",2
"3042","Outstanding Staff Award",2
"3048","P.B. Sci. Machine Shop",2
"3064","Page Smith",2
"3078","Pan-Cancer Initiative",2
"3093","Party small",2
"3105","patricia zavella",2
"3107","Patrick Fulton",2
"3112","paul lubeck",2
"3120","Peace Corps",2
"3122","peace studies",2
"3126","pedagogy",2
"3128","peggy downes baskin",2
"3131","pension",2
"3133","peregrin falcons",2
"3147","peter bratt",2
"3150","Peter Cook",2
"3160","pettigrew",2
"3181","Phokion Kolaitis",2
"3207","plan",2
"3208","planet",2
"3210","planet discovery",2
"3239","police",2
"3255","Pradip Mascharak",2
"3257","predatory bird research group",2
"3259","Prediction Walk/Run",2
"3260","prejudice",2
"3270","preview day",2
"3272","primordial gas",2
"3277","principal officers",2
"3278","principles",2
"3281","pristine gas",2
"3288","Project Awesome",2
"3304","proton therapy",2
"3312","public",2
"3324","punjabi language",2
"3329","QB3",2
"3330","QB3 Award for Innovation",2
"3332","Quarry Amphitheater",2
"3338","QUEST",2
"3350","raciscm",2
"3361","Raja Guhathakurta",2
"3370","Ray Collett",2
"3371","Ray FASC",2
"3379","Rebecca Braslau",2
"3388","recreation",2
"3392","recycling",2
"3394","Red Cross",2
"3395","reduction",2
"3396","Reduction in time program",2
"3400","reflection",2
"3429","rethinking capitalism",2
"3435","retirememnet",2
"3440","reunion",2
"3445","review",2
"3449","rhythmic entrainment",2
"3453","Richard A. Cooley Memorial Endowment",2
"3455","Richard E. Green",2
"3489","Roberto Manduchi",2
"3490","robin hunicke",2
"3493","robotics competition",2
"3506","Ronan",2
"3534","sacramento",2
"3543","sam farr",2
"3544","Sam Farr",2
"3551","san francisco",2
"3559","Sandra Chung",2
"3562","Sandy Faber",2
"3569","SAP Open Tennis Tournament",2
"3576","satellite tags",2
"3578","Saturn",2
"3580","satyajit ray",2
"3588","SCCBG",2
"3591","scholarship",2
"3593","Scholarship Benefit Dinner",2
"3599","science communication",2
"3621","Scott Brandt",2
"3622","Scott Lokey",2
"3628","SDSS-III",2
"3633","sea otter census",2
"3635","sea otter recovery",2
"3641","sea star wasting syndrome",2
"3646","search",2
"3651","Sebastiano Cantalupo",2
"3652","second harvest",2
"3653","Second Harvest Food Bank",2
"3666","senior design projects",2
"3670","sesnon art gallery",2
"3672","Sesnon Gallery",2
"3673","Seth Rubin",2
"3695","shakespeare festivals",2
"3697","shakespeare shakespeare festivals",2
"3728","sikh and punjabi studies",2
"3729","Sikh and Punjabi studies",2
"3732","Sikhs",2
"3734","Silicon Valley",2
"3736","Silicon Valley Initiatives",2
"3739","singer-songwriters",2
"3742","SIP",2
"3751","Sloan Foundation",2
"3757","Slug Stand-Up",2
"3768","smith renaissance society",2
"3769","smith society",2
"3782","social media",2
"3783","social networks",2
"3798","Sofie Salama",2
"3803","solar energy",2
"3811","Sophía García-Robles",2
"3824","Special Collections",2
"3833","spring",2
"3838","Spring Plant Sale",2
"3841","Sri Kurniawan",2
"3849","staff forum",2
"3861","state of minds",2
"3870","Stefano Profumo",2
"3871","STEM",2
"3875","STEM diversity",2
"3888","Stephen Petersen",2
"3895","steve mckay",2
"3896","Steve Ritz",2
"3902","Steven Ritz",2
"3910","storage systems",2
"3924","student affairs",2
"3930","Student Regent",2
"3931","student regent recruitment",2
"3933","Student Research and Education Awards",2
"3945","Sue Carter",2
"3954","summer internship program",2
"3957","summer shakespeare festivals",2
"3964","supercomputer lab for undergrads",2
"3979","susan solomon",2
"3986","sustainability studies",2
"3994","Sutter Maternity & Surgery Center",2
"4020","taking  home",2
"4030","TAPS",2
"4038","teaching",2
"4047","technology",2
"4052","Ted Goldstein",2
"4063","tennis",2
"4071","Tesla Jeltema",2
"4073","testoni",2
"4082","the farm",2
"4093","The Odyssey of KP2",2
"4104","theater department",2
"4112","Thirty Meter Telescope",2
"4114","thomas f. pettigrew",2
"4120","threat",2
"4141","Titan",2
"4146","tobias wolff",2
"4161","Tony Hill",2
"4164","top 100",2
"4175","traffic",2
"4177","traffic delays",2
"4178","transfer students",2
"4198","tv",2
"4213","uctv",2
"4237","university libraries",2
"4239","University Library",2
"4246","update",2
"4272","vegan",2
"4274","Venice",2
"4287","vice provost",2
"4291","video game design",2
"4298","violence against women",2
"4310","Volunteer",2
"4314","VPDUE",2
"4320","Walter Bray",2
"4325","washington post",2
"4346","welcomes new students",2
"4360","whistleblower",2
"4375","William Atwood",2
"4389","winifred frick",2
"4391","Winifred Frick",2
"4394","wireless networking",2
"4403","women in computer science",2
"4409","women in technology",2
